Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	F:\03_raw\Grad090_LFQ_A_01.mzML.dia	F:\03_raw\Grad090_LFQ_A_02.mzML.dia	F:\03_raw\Grad090_LFQ_A_04.mzML.dia	F:\03_raw\Grad090_LFQ_A_05.mzML.dia	F:\03_raw\Grad090_LFQ_B_01.mzML.dia	F:\03_raw\Grad090_LFQ_B_02.mzML.dia	F:\03_raw\Grad090_LFQ_B_03.mzML.dia	F:\03_raw\Grad090_LFQ_B_04.mzML.dia
Q5SY16	Q5SY16	NOL9_HUMAN	NOL9_HUMAN	Polynucleotide 5'-hydroxyl-kinase NOL9	2.73404e+06	2.82719e+06	2.80875e+06	2.75577e+06	2.67665e+06	2.76903e+06	2.80915e+06	2.90871e+06
Q5T013	Q5T013	HYI_HUMAN	HYI_HUMAN	Putative hydroxypyruvate isomerase	40697	27697.3	88096.9	46245.9	78612.8	86956.2	70845.5	68784.4
Q5T0F9	Q5T0F9	C2D1B_HUMAN	CC2D1B_HUMAN	Coiled-coil and C2 domain-containing protein 1B	537682	502884	706918	666522	554397	564415	547813	569261
Q5T0N5	Q5T0N5	FBP1L_HUMAN	FNBP1L_HUMAN	Formin-binding protein 1-like	237415	241126	160758	180518	218540	239963	195126	198044
Q5T0W9	Q5T0W9	FA83B_HUMAN	FAM83B_HUMAN	Protein FAM83B	301454	425813	498544	353429	468414	322454	502297	460809
Q5T160	Q5T160	SYRM_HUMAN	RARS2_HUMAN	Probable arginine--tRNA ligase, mitochondrial	159724	124037	202005	169044	169865	161744	226890	218524
Q5T1C6	Q5T1C6	THEM4_HUMAN	THEM4_HUMAN	Acyl-coenzyme A thioesterase THEM4	594029	610807	548950	514942	538586	611568	602270	621456
Q5T1M5	Q5T1M5	FKB15_HUMAN	FKBP15_HUMAN	FK506-binding protein 15	728840	745667	677791	750389	845279	773138	787064	788263
Q5T1V6	Q5T1V6	DDX59_HUMAN	DDX59_HUMAN	Probable ATP-dependent RNA helicase DDX59	257536	285298	299172	210738	320829	329326	257971	276183
Q5T200	Q5T200	ZC3HD_HUMAN	ZC3H13_HUMAN	Zinc finger CCCH domain-containing protein 13	483076	410028	395603	424570	484430	487018	475314	425962
Q5T280	Q5T280	CI114_HUMAN	SPOUT1_HUMAN	Putative methyltransferase C9orf114	1.22747e+06	1.19534e+06	1.10205e+06	1.09041e+06	1.18333e+06	1.14315e+06	949301	1.18136e+06
Q5T2E6	Q5T2E6	ARMD3_HUMAN	ARMH3_HUMAN	Armadillo-like helical domain-containing protein 3	89035.2	87408.8	177344	64870	106739			85338
Q5T3I0	Q5T3I0	GPTC4_HUMAN	GPATCH4_HUMAN	G patch domain-containing protein 4	769041	809477	794678	730683	746693	833226	738845	736029
Q5T3J3	Q5T3J3	LRIF1_HUMAN	LRIF1_HUMAN	Ligand-dependent nuclear receptor-interacting factor 1	96347.4	112408	95106.4	63489.1	120336	104352	100883	138148
Q5T440	Q5T440	CAF17_HUMAN	IBA57_HUMAN	Putative transferase CAF17, mitochondrial	559967	566919	581711	623637	491232	638344	698669	677970
Q5T447	Q5T447	HECD3_HUMAN	HECTD3_HUMAN	E3 ubiquitin-protein ligase HECTD3	142545	156938	163914	137965	163321	137551	195880	163437
Q5T4S7	Q5T4S7	UBR4_HUMAN	UBR4_HUMAN	E3 ubiquitin-protein ligase UBR4	1.60267e+06	1.59345e+06	1.64362e+06	1.52454e+06	1.63887e+06	1.72687e+06	1.65958e+06	1.68809e+06
Q5T5C0	Q5T5C0	STXB5_HUMAN	STXBP5_HUMAN	Syntaxin-binding protein 5	32225.7	44051.2	58693.5	66031.8	34879.3			
Q5T5U3	Q5T5U3	RHG21_HUMAN	ARHGAP21_HUMAN	Rho GTPase-activating protein 21	74112.2	90618.4	82741.7	35977.5	53058.5	84738.1	72585.2	86146.2
Q5T5X7	Q5T5X7	BEND3_HUMAN	BEND3_HUMAN	BEN domain-containing protein 3	141273	88719.8	110144	97251.7	127093	101270	162882	129105
Q5T5Y3	Q5T5Y3	CAMP1_HUMAN	CAMSAP1_HUMAN	Calmodulin-regulated spectrin-associated protein 1	488860	458378	315555	442297	494827	459529	513230	414359
Q5T653	Q5T653	RM02_HUMAN	MRPL2_HUMAN	39S ribosomal protein L2, mitochondrial	1.83631e+06	1.95031e+06	1.92243e+06	1.93111e+06	1.85514e+06	1.97523e+06	1.98041e+06	1.88945e+06
Q5T6F2	Q5T6F2	UBAP2_HUMAN	UBAP2_HUMAN	Ubiquitin-associated protein 2	1.56351e+06	1.53347e+06	1.71763e+06	1.46606e+06	1.67319e+06	1.60076e+06	1.68721e+06	1.62327e+06
Q5T6V5	Q5T6V5	QSPP_HUMAN	C9orf64_HUMAN	Queuosine salvage protein	2.59771e+06	2.74307e+06	2.5517e+06	2.3626e+06	2.5452e+06	2.66183e+06	2.65285e+06	2.64881e+06
Q5T8D3	Q5T8D3	ACBD5_HUMAN	ACBD5_HUMAN	Acyl-CoA-binding domain-containing protein 5	517128	514223	507945	457314	522175	550054	515016	423644
Q5T8I3	Q5T8I3	F102B_HUMAN	FAM102B_HUMAN	Protein FAM102B	345344	372488	310949	279321	302772	339572	221371	269669
Q5T8P6	Q5T8P6	RBM26_HUMAN	RBM26_HUMAN	RNA-binding protein 26	1.91628e+06	1.90791e+06	1.71844e+06	1.76176e+06	1.83379e+06	1.93478e+06	1.89781e+06	1.97678e+06
Q5T8P6;Q9P2N5	Q5T8P6;Q9P2N5	RBM26_HUMAN;RBM27_HUMAN	RBM26_HUMAN;RBM27_HUMAN	RNA-binding protein 26	1.14051e+06	1.16739e+06	1.17224e+06	1.21779e+06	1.14704e+06	1.15475e+06	1.07307e+06	1.11897e+06
Q5T9A4	Q5T9A4	ATD3B_HUMAN	ATAD3B_HUMAN	ATPase family AAA domain-containing protein 3B	2.92658e+06	2.78812e+06	2.70702e+06	2.505e+06	2.96981e+06	2.84139e+06	3.11461e+06	3.05275e+06
Q5T9A4;Q9NVI7	Q9NVI7;Q5T9A4	ATD3A_HUMAN;ATD3B_HUMAN	ATAD3A_HUMAN;ATAD3B_HUMAN	ATPase family AAA domain-containing protein 3B	6.6226e+06	6.45966e+06	6.6259e+06	6.26919e+06	6.5767e+06	6.61308e+06	6.5372e+06	6.54936e+06
Q5T9L3	Q5T9L3	WLS_HUMAN	WLS_HUMAN	Protein wntless homolog	109400							
Q5TA45	Q5TA45	INT11_HUMAN	INTS11_HUMAN	Integrator complex subunit 11	250978	363248		555967	335924	365932	333655	364870
Q5TAQ9	Q5TAQ9	DCAF8_HUMAN	DCAF8_HUMAN	DDB1- and CUL4-associated factor 8	310534	247520	243110		319876	256863	292528	345112
Q5TBB1	Q5TBB1	RNH2B_HUMAN	RNASEH2B_HUMAN	Ribonuclease H2 subunit B	647880	720619	623359	638482	665241	727134	663730	653330
Q5TC12	Q5TC12	ATPF1_HUMAN	ATPAF1_HUMAN	ATP synthase mitochondrial F1 complex assembly factor 1	406294	402636	414089	348071	485777	453152	562786	431647
Q5TC82	Q5TC82	RC3H1_HUMAN	RC3H1_HUMAN	Roquin-1	75829.1	76034	49473.3	89544.7	129675	117187	130840	108057
Q5TDH0	Q5TDH0	DDI2_HUMAN	DDI2_HUMAN	Protein DDI1 homolog 2	1.52208e+06	1.63649e+06	1.64457e+06	1.62959e+06	1.46903e+06	1.59607e+06	1.55339e+06	1.65216e+06
Q5TEC6	Q5TEC6;Q16695;P84243;Q71DI3;Q6NXT2;P68431	H3PS2_HUMAN	H3-2_HUMAN	Histone HIST2H3PS2	2.65957e+08	2.74781e+08	2.77835e+08	2.57783e+08	2.47916e+08	2.31412e+08	2.32253e+08	2.43932e+08
Q5TEU4	Q5TEU4	NDUF5_HUMAN	NDUFAF5_HUMAN	Arginine-hydroxylase NDUFAF5, mitochondrial	101135			157449	176263			
Q5TFE4	Q5TFE4	NT5D1_HUMAN	NT5DC1_HUMAN	5'-nucleotidase domain-containing protein 1	2.76412e+06	2.56272e+06	2.71088e+06	2.59613e+06	2.72362e+06	2.77671e+06	2.83033e+06	2.84135e+06
Q5TGY1	Q5TGY1	TMCO4_HUMAN	TMCO4_HUMAN	Transmembrane and coiled-coil domain-containing protein 4		29042.6			40292.7	37281.4	16104.3	
Q5TGZ0	Q5TGZ0	MIC10_HUMAN	MICOS10_HUMAN	MICOS complex subunit MIC10	2.57756e+06			2.52129e+06	3.59099e+06	4.19019e+06	3.32961e+06	3.32261e+06
Q5TKA1	Q5TKA1	LIN9_HUMAN	LIN9_HUMAN	Protein lin-9 homolog	189635	181326	170879	78820	176393		219742	262556
Q5U3C3	Q5U3C3	TM164_HUMAN	TMEM164_HUMAN	Transmembrane protein 164	142042	134889			169526			
Q5U5X0	Q5U5X0	LYRM7_HUMAN	LYRM7_HUMAN	Complex III assembly factor LYRM7	691373	746374	735201	578735	739898	760778	746321	738201
Q5UIP0	Q5UIP0	RIF1_HUMAN	RIF1_HUMAN	Telomere-associated protein RIF1	892439	849256	817354	778843	903241	944574	940053	885907
Q5VIR6	Q5VIR6	VPS53_HUMAN	VPS53_HUMAN	Vacuolar protein sorting-associated protein 53 homolog	496288	405457	531514	437118	620613	560895	557755	597011
Q5VSL9	Q5VSL9	STRP1_HUMAN	STRIP1_HUMAN	Striatin-interacting protein 1	384197	407572	408575	377265	515372	390631	452828	364559
Q5VST6	Q5VST6	AB17B_HUMAN	ABHD17B_HUMAN	Alpha/beta hydrolase domain-containing protein 17B			98631.2		155051	155650	201029	25380.4
Q5VT25	Q5VT25	MRCKA_HUMAN	CDC42BPA_HUMAN	Serine/threonine-protein kinase MRCK alpha	43622	48581	113971		85940.3	113792	95392.1	98159.9
Q5VT25;Q9Y5S2	Q5VT25;Q09013;Q9Y5S2	MRCKA_HUMAN;MRCKB_HUMAN	CDC42BPA_HUMAN;CDC42BPB_HUMAN	Serine/threonine-protein kinase MRCK alpha	426153		314488	187683	338161	598620	150649	
Q5VT52	Q5VT52	RPRD2_HUMAN	RPRD2_HUMAN	Regulation of nuclear pre-mRNA domain-containing protein 2	1.16657e+06	1.11121e+06	1.18485e+06	1.16778e+06	1.18528e+06	1.17899e+06	1.15807e+06	1.20597e+06
Q5VT66	Q5VT66	MARC1_HUMAN	MTARC1_HUMAN	Mitochondrial amidoxime-reducing component 1	439676	443424	505212	491373	473755	448175	483206	520015
Q5VT66;Q969Z3	Q969Z3;Q5VT66	MARC1_HUMAN;MARC2_HUMAN	MTARC1_HUMAN;MTARC2_HUMAN	Mitochondrial amidoxime-reducing component 1	1.81108e+06	1.74111e+06	1.75512e+06	1.52809e+06	1.82505e+06	1.87868e+06	1.86166e+06	1.67117e+06
Q5VT79	Q5VT79;P13928	AXA81_HUMAN	ANXA8L1_HUMAN	Annexin A8-like protein 1	673028	772654	700917	656094	838074	690632	720824	694243
Q5VTB9	Q5VTB9	RN220_HUMAN	RNF220_HUMAN	E3 ubiquitin-protein ligase RNF220	220702	137453	232316	223856		195026	170912	210494
Q5VTL8	Q5VTL8	PR38B_HUMAN	PRPF38B_HUMAN	Pre-mRNA-splicing factor 38B	851662	964603	934669	582773	960248	1.01121e+06	959118	931307
Q5VTR2	Q5VTR2	BRE1A_HUMAN	RNF20_HUMAN	E3 ubiquitin-protein ligase BRE1A	256676	296513	300302	292093	288930	326423	298161	328688
Q5VUA4	Q5VUA4	ZN318_HUMAN	ZNF318_HUMAN	Zinc finger protein 318	135131	213821	215115		213302	194444	24024.1	302171
Q5VV41	Q5VV41	ARHGG_HUMAN	ARHGEF16_HUMAN	Rho guanine nucleotide exchange factor 16	411803	397808	423131	369652	484008	469716	423134	420528
Q5VV42	Q5VV42	CDKAL_HUMAN	CDKAL1_HUMAN	Threonylcarbamoyladenosine tRNA methylthiotransferase	176105	238900		104437	276365	241039	212728	261714
Q5VVQ6	Q5VVQ6	OTU1_HUMAN	YOD1_HUMAN	Ubiquitin thioesterase OTU1		203025		277310		242636	213278	241179
Q5VW32	Q5VW32	BROX_HUMAN	BROX_HUMAN	BRO1 domain-containing protein BROX	2.38948e+06	2.31507e+06	2.80911e+06	2.44566e+06	2.53547e+06	2.36385e+06	2.43599e+06	2.95514e+06
Q5VW36	Q5VW36	FOCAD_HUMAN	FOCAD_HUMAN	Focadhesin	813637	974925	693638	735583	860038	852311	804260	858044
Q5VW38	Q5VW38	GP107_HUMAN	GPR107_HUMAN	Protein GPR107	429341	394678	365160	510428	428267	371508	419757	710387
Q5VWQ0	Q5VWQ0	RSBN1_HUMAN	RSBN1_HUMAN	Lysine-specific demethylase 9	315032	257368	206562	238072	296524	298931	238202	200641
Q5VWZ2	Q5VWZ2	LYPL1_HUMAN	LYPLAL1_HUMAN	Lysophospholipase-like protein 1		200809		195823	317307		154477	188552
Q5VYK3	Q5VYK3	ECM29_HUMAN	ECPAS_HUMAN	Proteasome adapter and scaffold protein ECM29	3.09284e+06	3.02144e+06	3.14628e+06	2.83697e+06	3.08939e+06	3.19048e+06	3.0532e+06	3.10005e+06
Q5VYS8	Q5VYS8	TUT7_HUMAN	TUT7_HUMAN	Terminal uridylyltransferase 7	159309	166298	116837	154938	151974	160279	186847	146472
Q5VZ89	Q5VZ89	DEN4C_HUMAN	DENND4C_HUMAN	DENN domain-containing protein 4C	320760	391266	355335	327579	394560	358225	358434	427828
Q5VZE5	Q5VZE5	NAA35_HUMAN	NAA35_HUMAN	N-alpha-acetyltransferase 35, NatC auxiliary subunit	852743	824988	832475	846481	893233	857553	897255	836231
Q5VZF2;Q9NR56	Q9NR56;Q5VZF2	MBNL1_HUMAN;MBNL2_HUMAN	MBNL1_HUMAN;MBNL2_HUMAN	Muscleblind-like protein 2	3.93734e+06	4.08621e+06	3.57908e+06	3.25573e+06	4.0242e+06	4.18469e+06	4.29823e+06	3.52993e+06
Q5VZK9	Q5VZK9	CARL1_HUMAN	CARMIL1_HUMAN	F-actin-uncapping protein LRRC16A	1.0617e+06	1.03217e+06	1.06941e+06	987955	967058	1.05911e+06	1.07851e+06	1.05907e+06
Q5VZL5	Q5VZL5	ZMYM4_HUMAN	ZMYM4_HUMAN	Zinc finger MYM-type protein 4	311113	296690	315496	226095	265839	252877	204201	266103
Q5W0V3	Q5W0V3	FHI2A_HUMAN	FHIP2A_HUMAN	FHF complex subunit HOOK interacting protein 2A	181860	214634	154966		177428	193097	218857	130702
Q5XKP0	Q5XKP0	MIC13_HUMAN	MICOS13_HUMAN	MICOS complex subunit MIC13	1.17734e+06	1.22129e+06	1.04474e+06	1.02884e+06	1.16778e+06	1.28553e+06	1.20928e+06	1.0915e+06
Q5XPI4	Q5XPI4	RN123_HUMAN	RNF123_HUMAN	E3 ubiquitin-protein ligase RNF123	192558	190740	188555	154769	169326	180299	205317	208593
Q5ZPR3	Q5ZPR3	CD276_HUMAN	CD276_HUMAN	CD276 antigen	1.22871e+06	1.1761e+06	1.22223e+06	1.07625e+06	1.30864e+06	1.29206e+06	1.20676e+06	1.3285e+06
Q63HN8	Q63HN8	RN213_HUMAN	RNF213_HUMAN	E3 ubiquitin-protein ligase RNF213	661328	633678	671872	588618	672934	685922	632821	661011
Q63ZE4	Q63ZE4	S22AA_HUMAN	SLC22A10_HUMAN	Solute carrier family 22 member 10	1.95552e+06						1.94187e+06	1.99039e+06
Q63ZY3	Q63ZY3	KANK2_HUMAN	KANK2_HUMAN	KN motif and ankyrin repeat domain-containing protein 2	377857	334745	364003	343216	364466	371433	350396	318288
Q641Q2	Q641Q2	WAC2A_HUMAN	WASHC2A_HUMAN	WASH complex subunit 2A	274918	211029	203630	164417	211234	179639	285884	91702.6
Q641Q2;Q9Y4E1	Q641Q2;Q9Y4E1	WAC2A_HUMAN;WAC2C_HUMAN	WASHC2A_HUMAN;WASHC2C_HUMAN	WASH complex subunit 2A	728303	667771	756781	766977	752246	772565	800304	838984
Q643R3	Q643R3	LPCT4_HUMAN	LPCAT4_HUMAN	Lysophospholipid acyltransferase LPCAT4	589348	534755	598007	505645	619194	705986	571529	617910
Q658P3	Q658P3	STEA3_HUMAN	STEAP3_HUMAN	Metalloreductase STEAP3	293351	439252	351442	482148	454201	382542	485067	222889
Q658Y4	Q658Y4	F91A1_HUMAN	FAM91A1_HUMAN	Protein FAM91A1	627305	579190	673719	548279	717026	696090	749119	809490
Q66K14	Q66K14	TBC9B_HUMAN	TBC1D9B_HUMAN	TBC1 domain family member 9B	431683	449708	424538	431544	491401	520122	486242	537326
Q66K74	Q66K74	MAP1S_HUMAN	MAP1S_HUMAN	Microtubule-associated protein 1S	2.49087e+06	2.48917e+06	2.5231e+06	2.28792e+06	2.61882e+06	2.64221e+06	2.52698e+06	2.656e+06
Q66PJ3	Q66PJ3	AR6P4_HUMAN	ARL6IP4_HUMAN	ADP-ribosylation factor-like protein 6-interacting protein 4	2.05346e+06	2.05353e+06	2.07667e+06	1.75688e+06	2.14459e+06	2.05394e+06	1.96507e+06	2.06463e+06
Q676U5	Q676U5	A16L1_HUMAN	ATG16L1_HUMAN	Autophagy-related protein 16-1	218307	249762	136691	125262	221559	221734	197607	203853
Q68CP9	Q68CP9	ARID2_HUMAN	ARID2_HUMAN	AT-rich interactive domain-containing protein 2	195768	198916	208911	158833	172120	204825	156371	220090
Q68CQ4	Q68CQ4	UTP25_HUMAN	UTP25_HUMAN	U3 small nucleolar RNA-associated protein 25 homolog	485995	588645	594459	684922	878109	618708	747185	790685
Q68CQ7	Q68CQ7	GL8D1_HUMAN	GLT8D1_HUMAN	Glycosyltransferase 8 domain-containing protein 1	301207	187601	340634	305224	326692	310299	201190	276206
Q68CZ2	Q63HR2;Q9HBL0;Q68CZ2	TENS3_HUMAN	TNS3_HUMAN	Tensin-3	38282.4	38750.6	64241	89776.6	56903.8	82671.5	104074	79511.6
Q68CZ6	Q68CZ6	HAUS3_HUMAN	HAUS3_HUMAN	HAUS augmin-like complex subunit 3	105657	87668.7	165850	151078	136875	82581.1	110055	134084
Q68D20	Q68D20	PMS2L_HUMAN	PMS2CL_HUMAN	Protein PMS2CL					52253.9	43974.1	36044.7	61581.7
Q68D91	Q68D91	MBLC2_HUMAN	MBLAC2_HUMAN	Metallo-beta-lactamase domain-containing protein 2	472126	530733	482274	466305	548694	630830	601884	508678
Q68DH5	Q68DH5	LMBD2_HUMAN	LMBRD2_HUMAN	G-protein coupled receptor-associated protein LMBRD2	179455	52126.7	172565	117650	147043	186001	130845	88183.2
Q68DK7	Q68DK7	MSL1_HUMAN	MSL1_HUMAN	Male-specific lethal 1 homolog	139320	124700	153166	113648	135035	145535	145026	112577
Q68E01	Q68E01	INT3_HUMAN	INTS3_HUMAN	Integrator complex subunit 3	851912	831777	915720	787529	820360	837961	885129	868010
Q68EM7	Q68EM7	RHG17_HUMAN	ARHGAP17_HUMAN	Rho GTPase-activating protein 17	991378	1.04528e+06	993590	927609	1.0934e+06	966179	954198	1.05025e+06
Q69YH5	Q69YH5	CDCA2_HUMAN	CDCA2_HUMAN	Cell division cycle-associated protein 2	46160.2	55354.3	66844.3	54790.8	59148.4	37590.5	59808.8	79053.1
Q69YL0	Q69YL0	NCAS2_HUMAN	NCBP2AS2_HUMAN	Protein NCBP2AS2		188338	130258	113100	145481	203900	162559	142902
Q69YN2	Q69YN2	C19L1_HUMAN	CWF19L1_HUMAN	CWF19-like protein 1	1.33697e+06	1.4025e+06	1.37677e+06	1.26851e+06	1.26667e+06	1.3657e+06	1.30782e+06	1.27011e+06
Q69YN4	Q69YN4	VIR_HUMAN	VIRMA_HUMAN	Protein virilizer homolog	274666	301583	265210	183731	265587	264534	262366	264732
Q69YQ0	Q69YQ0	CYTSA_HUMAN	SPECC1L_HUMAN	Cytospin-A	111301	149303	133201	147912				318396
Q6AI08	Q6AI08	HEAT6_HUMAN	HEATR6_HUMAN	HEAT repeat-containing protein 6	181987	179752	244490	210176	219111	227385	251935	253516
Q6BDS2	Q6BDS2	URFB1_HUMAN	UHRF1BP1_HUMAN	UHRF1-binding protein 1	357936	438076	271744	223976	384955	370057	401701	388838
Q6DD87	Q6DD87	ZN787_HUMAN	ZNF787_HUMAN	Zinc finger protein 787	542379	681351	419558	434882	444658	536177	541594	431272
Q6DD88	Q6DD88	ATLA3_HUMAN	ATL3_HUMAN	Atlastin-3	4.74137e+06	4.81671e+06	4.88748e+06	4.50404e+06	4.95946e+06	5.09924e+06	5.01809e+06	4.87197e+06
Q6DKI1	Q6DKI1	RL7L_HUMAN	RPL7L1_HUMAN	60S ribosomal protein L7-like 1	5.57338e+06	5.70754e+06	5.57219e+06	5.35925e+06	5.60896e+06	5.61068e+06	5.60728e+06	5.56971e+06
Q6DKK2	Q6DKK2	TTC19_HUMAN	TTC19_HUMAN	Tetratricopeptide repeat protein 19, mitochondrial	154155	139124	210721	164982	184162	188766	221381	194284
Q6EEV4	Q6EEV4	GL1AD_HUMAN	POLR2M_HUMAN	DNA-directed RNA polymerase II subunit GRINL1A, isoforms 4/5	547162	551602	492098	492899	487253	629718	668399	595015
Q6FI81	Q6FI81	CPIN1_HUMAN	CIAPIN1_HUMAN	Anamorsin	3.4052e+06	3.54747e+06	3.29505e+06	3.49042e+06	3.59483e+06	3.68693e+06	3.55314e+06	3.54309e+06
Q6GMV2	Q6GMV2	SMYD5_HUMAN	SMYD5_HUMAN	SET and MYND domain-containing protein 5	595095	541369	486499	585199	556726	523863	628583	655306
Q6GMV3	Q6GMV3	PTRD1_HUMAN	PTRHD1_HUMAN	Putative peptidyl-tRNA hydrolase PTRHD1	6.46211e+06	6.6492e+06	6.22987e+06	6.31096e+06	6.75855e+06	6.4191e+06	6.57576e+06	6.65115e+06
Q6GQQ9	Q6GQQ9	OTU7B_HUMAN	OTUD7B_HUMAN	OTU domain-containing protein 7B	364516	337655	333642	306640	391798	342510	372692	362805
Q6GYQ0	Q6GYQ0	RGPA1_HUMAN	RALGAPA1_HUMAN	Ral GTPase-activating protein subunit alpha-1		37655.4			86905.1	66661.5		
Q6I9Y2	Q6I9Y2	THOC7_HUMAN	THOC7_HUMAN	THO complex subunit 7 homolog	222619	331256	366535	648243	471243	421374	498275	256009
Q6IA69	Q6IA69	NADE_HUMAN	NADSYN1_HUMAN	Glutamine-dependent NAD(+) synthetase	142608	121402	160998	149485	137204	171094	148233	165048
Q6IA86	Q6IA86	ELP2_HUMAN	ELP2_HUMAN	Elongator complex protein 2	1.01717e+06	898591	999213	836614	1.00613e+06	1.01864e+06	1.01246e+06	877485
Q6IAA8	Q6IAA8	LTOR1_HUMAN	LAMTOR1_HUMAN	Ragulator complex protein LAMTOR1	2.38366e+06	2.41906e+06	2.46142e+06	2.32434e+06	2.39503e+06	2.28222e+06	2.41661e+06	2.41372e+06
Q6IAN0	Q6IAN0	DRS7B_HUMAN	DHRS7B_HUMAN	Dehydrogenase/reductase SDR family member 7B	926428	972574	951762	843352	987267	976587	1.00849e+06	1.00986e+06
Q6IBS0	Q6IBS0	TWF2_HUMAN	TWF2_HUMAN	Twinfilin-2	2.69691e+06	2.72921e+06	2.93489e+06	2.62484e+06	2.70853e+06	2.84699e+06	2.74205e+06	2.79062e+06
Q6IBW4	Q6IBW4	CNDH2_HUMAN	NCAPH2_HUMAN	Condensin-2 complex subunit H2	367329	425657		337014	465519	430270	463026	467978
Q6ICB0	Q6ICB0	DESI1_HUMAN	DESI1_HUMAN	Desumoylating isopeptidase 1	1.52434e+06	1.54883e+06	1.61901e+06	1.26315e+06	1.27019e+06	1.27999e+06	1.18572e+06	1.17691e+06
Q6IN84	Q6IN84	MRM1_HUMAN	MRM1_HUMAN	rRNA methyltransferase 1, mitochondrial	720213	710667	602896	676745	772971	651101	768351	699180
Q6IN85	Q6IN85	P4R3A_HUMAN	PPP4R3A_HUMAN	Serine/threonine-protein phosphatase 4 regulatory subunit 3A	1.26106e+06	1.2525e+06	1.36201e+06	1.30158e+06	1.37694e+06	1.37215e+06	1.4003e+06	1.31274e+06
Q6IPR3	Q6IPR3	TYW3_HUMAN	TYW3_HUMAN	tRNA wybutosine-synthesizing protein 3 homolog	152261	152252	118000	114159	129751	132210	66646.9	100070
Q6IQ21	Q6IQ21	ZN770_HUMAN	ZNF770_HUMAN	Zinc finger protein 770		50966.5	37818.8	19653.5		51201.4		54098.7
Q6IQ22	Q6IQ22	RAB12_HUMAN	RAB12_HUMAN	Ras-related protein Rab-12	212645	193818	215855	178589	160917	204684	195214	243705
Q6IQ32	Q6IQ32	ADNP2_HUMAN	ADNP2_HUMAN	Activity-dependent neuroprotector homeobox protein 2			129056			126477	93675.3	100963
Q6IQ49	Q6IQ49	SDE2_HUMAN	SDE2_HUMAN	Replication stress response regulator SDE2	403497	429491	353469	239531	356031	384134	252513	368342
Q6KB66	Q6KB66-1;Q6KB66	K2C80_HUMAN	KRT80_HUMAN	Keratin, type II cytoskeletal 80	466122	364398	375301	275324	483501	465379	463848	406040
Q6KC79	Q6KC79	NIPBL_HUMAN	NIPBL_HUMAN	Nipped-B-like protein	501146	553094	500733	492413	573261	588543	520275	600763
Q6KCM7	Q6KCM7	SCMC2_HUMAN	SLC25A25_HUMAN	Calcium-binding mitochondrial carrier protein SCaMC-2	1.02903e+07		9.68889e+06	6.50942e+06	8.46176e+06	113140		8.73941e+06
Q6L8Q7	Q6L8Q7	PDE12_HUMAN	PDE12_HUMAN	2',5'-phosphodiesterase 12	2.15001e+06	2.04178e+06	2.22472e+06	1.83424e+06	2.21456e+06	2.10959e+06	2.35602e+06	2.20734e+06
Q6N043	Q6N043	Z280D_HUMAN	ZNF280D_HUMAN	Zinc finger protein 280D					22072.6			
Q6N069	Q6N069	NAA16_HUMAN	NAA16_HUMAN	N-alpha-acetyltransferase 16, NatA auxiliary subunit	108535		69449.4	118530	127974	119313	122101	116699
Q6N069;Q9BXJ9	Q6N069;Q9BXJ9	NAA15_HUMAN;NAA16_HUMAN	NAA15_HUMAN;NAA16_HUMAN	N-alpha-acetyltransferase 16, NatA auxiliary subunit	4.48988e+06	4.29149e+06	4.32011e+06	3.93661e+06	4.13178e+06	4.33851e+06	4.57322e+06	4.0169e+06
Q6NS38	Q6NS38	ALKB2_HUMAN	ALKBH2_HUMAN	DNA oxidative demethylase ALKBH2	354418	340620	342205	348550	255550	340407	348610	420069
Q6NSJ5	Q6NSJ5	LRC8E_HUMAN	LRRC8E_HUMAN	Volume-regulated anion channel subunit LRRC8E	371688	365379	318844	391025	334052	402743	350100	380699
Q6NT16	Q6NT16	S18B1_HUMAN	SLC18B1_HUMAN	MFS-type transporter SLC18B1	95429.8		189954	198661		123899	180053	232605
Q6NTF9	Q6NTF9	RHBD2_HUMAN	RHBDD2_HUMAN	Rhomboid domain-containing protein 2	659207	606599	695978	609568	637470	702294	688881	755247
Q6NUK1	Q6NUK1	SCMC1_HUMAN	SLC25A24_HUMAN	Calcium-binding mitochondrial carrier protein SCaMC-1	1.27442e+07	1.26302e+07	1.27149e+07	1.15958e+07	1.28478e+07	1.26575e+07	1.28787e+07	1.26477e+07
Q6NUM9	Q6NUM9	RETST_HUMAN	RETSAT_HUMAN	All-trans-retinol 13,14-reductase	748256	902530	825544	760361	844790	796088	880592	826055
Q6NUQ1	Q6NUQ1	RINT1_HUMAN	RINT1_HUMAN	RAD50-interacting protein 1	106978	109929	98933.4	84004	110423	110211	101704	108087
Q6NUQ4	Q6NUQ4	TM214_HUMAN	TMEM214_HUMAN	Transmembrane protein 214	1.82879e+06	1.90312e+06	1.86358e+06	1.72038e+06	1.98546e+06	1.92121e+06	1.92356e+06	1.91092e+06
Q6NUT3	Q6NUT3	MFS12_HUMAN	MFSD12_HUMAN	Major facilitator superfamily domain-containing protein 12	645146	595550	632388	345146	676274	682385	738388	649383
